titulo,autor,genero,año_publicacion
Don Quijote de la Mancha,Miguel de Cervantes,Novela,1605
Rayuela,Julio Cortázar,Novela,1963
Fahrenheit 451,Ray Bradbury,Ciencia Ficción,1953
La Sombra del Viento,Carlos Ruiz Zafón,Misterio,2001
Los Miserables,Victor Hugo,Novela,1862
